canonical_venue,latitude,longitude,elevation
"WA Athletics Stadium, Perth (AUS)",-31.9494711,115.7822963,29.0
"SA Athletic Stadium, Adelaide (AUS)",-34.929487,138.57846,19.0
"National Stadium, Kingston (JAM)",18.0013755,-76.7725427,65.0
"Hadar Yosef Stadium, Tel Aviv (ISR)",32.1047738,34.822055,12.0
"Bislett Stadion, Oslo (NOR)",59.92555209999999,10.7342752,28.0
"Sports Park Mladost, Zagreb (CRO)",45.7832281,15.9447435,109.0
"Woodside Stadium, Watford (GBR)",51.6956132,-0.3945263,82.0
"McArthur Stadium, Potchefstroom (RSA)",-26.7113196,27.0895503,1342.0
"Atletická hala, Ostrava (CZE)",49.80383579999999,18.2486016,231.0
"Atletska dvorana, Beograd (SRB)",44.7743572,20.4719227,132.0
"Estadio Atlético de la VIDENA, Lima (PER)",-12.0816939,-76.9982124,181.0
"Philsport Track Oval, Pasig (PHI)",14.578551,121.0666532,30.0
"Lee Valley Athletics Centre, London (GBR)",51.6315259,-0.0372572,16.0
"Pista da Sogipa, Porto Alegre (BRA)",-30.00946489999999,-51.1880085,30.0
"Hayward Field, Eugene, OR (USA)",44.04240679999999,-123.070692,119.0
"Lakeside Stadium, Melbourne (AUS)",-37.840334,144.9652943,7.0
"RG3 e Centro Desportivo da Madeira, Funchal (POR)",32.6902895,-17.0490503,92.0
"Stadion Zygmunta Szelesta, Warszawa (POL)",52.2867314,20.9590391,90.0
"Tullamore Harriers AC Stadium, Tullamore (IRL)",53.26569,-7.503989,40.0
"LAZ Wien, Wien (AUT)",48.20806959999999,16.3713095,178.0
"Expocentro, Pombal (POR)",39.9360474,-8.6598508,116.0
"Tamme staadion, Tartu (EST)",58.3664525,26.7137237,54.0
"Centro Gabre Gabric, Brescia (ITA)",45.51414339999999,10.2675698,127.0
"Laugardalshöll, Reykjavík (ISL)",64.14050209999999,-21.8766456,14.0
"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",-27.5582992,153.0623069,78.0
"Marsa Athletics Track, Marsa (MLT)",35.8754258,14.4937208,7.0
"Eläintarhan urheilukenttä, Helsinki (FIN)",60.19124859999999,24.9310553,6.0
"Estadio Panamericano, La Habana (CUB)",23.1576006,-82.316757,36.0
"Topsporthal Vlaanderen, Gent (BEL)",51.0499922,3.7303853,17.0
"Centro Deportivo Olímpico Mexicano, Ciudad de México (MEX)",19.4326077,-99.133208,2230.0
"Centro Desportivo Nacional do Jamor, Lisboa (POR)",38.703912,-9.2569885,14.0
"Olympiastadion, Stockholm (SWE)",59.34533640000001,18.0790178,25.0
"AIT International Arena, Athlone (IRL)",53.4188295,-7.904556099999999,43.0
"Givat Ram Stadium, Jerusalem (ISR)",31.77597239999999,35.2000774,740.0
"NITTAIDAI Athletic Stadium, Yokohama (JPN)",35.5942091,139.7537744,9.0
"Staadion, Rakvere (EST)",59.34708469999999,26.3593036,67.0
"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL)",-17.3892796,-66.1636611,2575.0
"Morton Stadium, Santry, Dublin (IRL)",53.401123,-6.245053899999999,54.0
"Paavo Nurmen Stadion, Turku (FIN)",60.4425447,22.2609213,28.0
"Pista Municipal Prof. Mário Moniz Pereira, Lisboa (POR)",38.7222524,-9.1393366,70.0
"Alexander Stadium, Birmingham (GBR)",52.5310912,-1.9053004,94.0
"Campo Comunale, Modena (ITA)",44.647128,10.9252269,49.0
"Pilditch Stadium, Pretoria (RSA)",-25.7515454,28.1646304,1327.0
"Altice Forum, Braga (POR)",41.541648,-8.421845099999999,164.0
"Estádio 1o de Maio, Braga (POR)",41.5388537,-8.4205877,162.0
"Fana Stadion, Bergen (NOR)",60.29047600000001,5.3178483,38.0
"Kadrioru staadion, Tallinn (EST)",59.4345024,24.7833478,8.0
"Ocean Breeze Athl. Complex, New York, NY (USA)",40.5831074,-74.0751483,13.0
"Stade Olympique de la Pontaise, Lausanne (SUI)",46.5332326,6.6243555,587.0
"Stadion Radés, Radés (TUN)",36.747785,10.2728649,31.0
"T. Robinson Stadium, Nassau (BAH)",25.0543008,-77.3602027,12.0
"Terry Fox AF, Ottawa (CAN)",45.306109,-75.912274,102.0
"CeNARD, Buenos Aires (ARG)",-34.54249739999999,-58.4549462,21.0
"Kyushu Kyoritsu University Stadium, Kitakyushu (JPN)",33.8715003,130.7055111,35.0
"Sala de Atletism Ioan Soter, Bucureşti (ROU)",44.4356947,26.1461459,79.0
"Stadio Guidobaldi, Rieti (ITA)",42.399826,12.8494443,377.0
"Stadionul Iolanda Balas Soter, Bucureşti (ROU)",44.4703683,26.0740975,81.0
"Arena, Toruń (POL)",53.0177491,18.5888618,42.0
"Armory Track&Field Center, New York, NY (USA)",40.8421936,-73.9413146,71.0
"Boudewijnstadion, Bruxelles (BEL)",50.8957028,4.3340679,44.0
"Egyetemi Stadion, Veszprém (HUN)",47.0824458,17.9057023,269.0
"Leichtathletikarena, Eisenstadt (AUT)",47.8448307,16.5390078,157.0
"Pista de Atletismo Justo Román, Mar del Plata (ARG)",-38.016788,-57.579544,13.0
"SOPAC, Sydney (AUS)",-33.850589,151.066985,22.0
"Track and Field Centre, Toronto (CAN)",43.7763564,-79.50766449999999,192.0
"Complexo Desportivo de Lousada, Lousada (POR)",41.28648140000001,-8.2927634,328.0
"GPS Stadium, Nicosia (CYP)",35.1145246,33.3628952,176.0
"Arena Stade Couvert, Liévin (FRA)",50.4109912,2.765853,67.0
"Jāņa Daliņa Stadium, Valmiera (LAT)",57.5409605,25.4417459,39.0
Montevideo (URU),-34.9055016,-56.1851147,51.0
"Omnisport, Apeldoorn (NED)",52.2097108,5.9958037,15.0
"Atletski Stadion, Kraljevo (SRB)",43.7204013,20.6883003,195.0
"Centro Nacional de Lançamentos, Leiria (POR)",39.7524269,-8.8145724,20.0
"Coque Sport Center, Luxembourg (LUX)",49.623552,6.1519527,330.0
"Friidrottens Hus, Göteborg (SWE)",57.6771012,11.9366851,21.0
"Kirani James Athletic Stadium, St. George's (GRN)",12.0599914,-61.75356769999999,9.0
"Pista de Atletismo SND, Asunción (PAR)",-25.3169096,-57.58062109999999,148.0
"Regional Sport Complex, Brest (BLR)",52.0996507,23.7636662,142.0
"Športová hala Elán, Bratislava (SVK)",48.1638595,17.1396978,131.0
"Complexe Olympique Mohamed Boudiaf, Algiers (ALG)",36.7646823,2.9972394,240.0
"Complexe Sportif de Blocry, Louvain-La-Neuve (BEL)",50.6703877,4.6015966,130.0
"Estadio Vallehermoso, Madrid (ESP)",40.4415625,-3.7097402,692.0
"Golęcin Stadion, Poznan (POL)",52.4254001,16.8903021,63.0
"Manchester Regional Arena, Manchester (GBR)",53.48385649999999,-2.2039758,49.0
"Stadion Topolica, Bar (MNE)",42.1045656,19.0900671,9.0
"The Crest Athletics Centre, Bankstown, Sydney (AUS)",-33.9071007,150.9972312,40.0
"Track and Field Centre Outdoor Track, Toronto (CAN)",43.7763564,-79.50766449999999,192.0
"Uppsala Friidrottsarena, Uppsala (SWE)",59.8812155,17.661857,20.0
"Ataköy Arena, Istanbul (TUR)",40.9808541,28.856793,14.0
"Atletický stadion Slavia Praha, Praha (CZE)",50.0669358,14.4780158,208.0
"COTP Stadium, São Paulo (BRA)",-23.5985694,-46.6561836,751.0
"Longford Stadium Trafford, Manchester (GBR)",53.44596379999999,-2.2906255,32.0
"Mestský Stadion, Ostrava (CZE)",49.8043165,18.2559648,220.0
"Pista de Atletismo da Universidade Federal do Rio Grande do Norte, Natal (BRA)",-5.839721,-35.2016966,40.0
"Stade d'Honneur Marcel Roustan, Salon-de-Provence (FRA)",43.6357396,5.0928645,66.0
"Stadion BOSiR, Białystok (POL)",53.120594,23.1599274,154.0
"TipsArena, Linz (AUT)",48.2925823,14.2756622,319.0
"Yanmar Stadium Nagai, Osaka (JPN)",34.6140489,135.5185961,15.0
"Aftab Enghelab Sport Complex, Tehran (IRI)",35.783735,51.3977739,1564.0
"CNDA, Bragança Paulista (BRA)",-22.9531705,-46.5423239,860.0
"Camille Chamoun Sports City Stadium, Beirut (LBN)",33.8670115,35.496098,46.0
"Jāņa Daliņa Manēža, Valmiera (LAT)",57.5423107,25.443463,49.0
"Mahinda Rajapaksha Stadium, Diyagama (SRI)",6.8064822,79.99074519999999,9.0
"Newtown Park Stadium, Wellington (NZL)",-41.32008039999999,174.7824658,31.0
"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",39.9823349,-0.0608391,40.0
"Stadio Comunale, Bellinzona (SUI)",46.198457,9.0228478,219.0
"Stadio M.S. Cozzoli, Molfetta (ITA)",41.197994,16.614026,7.0
"Stadium Pierre-Quinon, Nantes (FRA)",47.2488419,-1.5555589,19.0
"Suhaim bin Hamad Stadium, Doha (QAT)",25.3171875,51.5112344,17.0
"Estádio Municipal de Vagos, Vagos (POR)",40.5445836,-8.6858807,11.0
"Lantos Mihály Sportközpont, Budapest (HUN)",47.5247321,19.1202417,111.0
"Pista de Atletismo do Parque Ayrton Senna, Campo Grande (BRA)",-20.5126795,-54.6497445,506.0
"Stade L. Achille, Fort-de-France (FRA)",14.6060576,-61.06988399999999,12.0
"Stadion Śląski, Chorzów (POL)",50.28815909999999,18.9726717,270.0
"The Track at New Balance, Boston, MA (USA)",42.3566133,-71.14372019999999,11.0
"AIS Athletics Track, Canberra (AUS)",-35.2466186,149.1037801,603.0
"Atatürk Stadyumu, Izmir (TUR)",38.4349544,27.1779803,10.0
"Atletski stadion, Sremska Mitrovica (SRB)",44.9882602,19.611989,90.0
"Boston Univ. Track & Tennis Center, Boston, MA (USA)",42.354588,-71.12348279999999,10.0
"Bærum Idrettspark, Rud, Bærum (NOR)",59.9096474,10.4994214,33.0
"Estádio Municipal Fontelo, Viseu (POR)",40.6595491,-7.900481200000001,464.0
"Estádio Municipal Manuela Machado, Viana do Castelo (POR)",41.7176062,-8.818015599999999,22.0
"Loughborough University Track, Loughborough (GBR)",52.76817089999999,-1.2305309,54.0
"Mt Smart Stadium, Auckland (NZL)",-36.9182825,174.8123959,11.0
"Nyíregyházi Atlétikai Centrum, Nyíregyháza (HUN)",47.9565758,21.6953009,112.0
"Pista Basilio Rodriguez, Carolina (PUR)",18.3869389,-65.9568319,13.0
"Pista Carlos Lopes, Torres Vedras (POR)",39.0712318,-9.2473173,78.0
"QSAC State Athletics Facility, Nathan, Brisbane (AUS)",-27.5570537,153.0594982,86.0
"Spar Nord Arena, Skive (DEN)",56.5680351,9.0361146,6.0
"The Podium, Spokane, WA (USA)",47.6664489,-117.4193964,582.0
"Štadión SNP, Banská Bystrica (SVK)",48.7319629,19.1310516,337.0
"Atletiekbaan Maarschalkerweerd, Utrecht (NED)",52.0788908,5.1565128,6.0
"Foothills Athletic Park, Calgary (CAN)",51.0727105,-114.1227921,1089.0
"Hvidovre Stadion, Hvidovre (DEN)",55.63128219999999,12.4828296,10.0
"Icahn Stadium, New York, NY (USA)",40.7929771,-73.92441219999999,12.0
"KMSHVSM Arena, Kyiv (UKR)",50.4503596,30.5245025,159.0
"Liikuntamylly, Helsinki (FIN)",60.2248195,25.0769775,18.0
"Městský atletický stadion, Pardubice (CZE)",50.0219452,15.763935,217.0
"National Stadium, Tokyo (JPN)",35.6800399,139.7139449,37.0
"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",-33.4658741,-70.6085247,565.0
"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",-15.6080791,-56.0616114,183.0
"Pista de Atletismo do CIEF, Brasilia (BRA)",-15.8063904,-47.90971769999999,1117.0
"Sollentunavallen, Sollentuna (SWE)",59.4356048,17.9512774,25.0
"Sportanlage Sihlhölzli, Zürich (SUI)",47.3678335,8.5249884,407.0
"Toše Proeski Arena, Skopje (MKD)",42.0057329,21.4255963,260.0
