,canonical_venue
0,"WA Athletics Stadium, Perth (AUS)"
1,"SA Athletic Stadium, Adelaide (AUS)"
2,"National Stadium, Kingston (JAM)"
3,"Hadar Yosef Stadium, Tel Aviv (ISR)"
4,"Bislett Stadion, Oslo (NOR)"
5,"Sports Park Mladost, Zagreb (CRO)"
7,"Woodside Stadium, Watford (GBR)"
8,"McArthur Stadium, Potchefstroom (RSA)"
9,"Atletická hala, Ostrava (CZE)"
10,"Atletska dvorana, Beograd (SRB)"
11,"Estadio Atlético de la VIDENA, Lima (PER)"
12,"Philsport Track Oval, Pasig (PHI)"
13,"Lee Valley Athletics Centre, London (GBR)"
14,"Pista da Sogipa, Porto Alegre (BRA)"
15,"Hayward Field, Eugene, OR (USA)"
16,"Lakeside Stadium, Melbourne (AUS)"
18,"RG3 e Centro Desportivo da Madeira, Funchal (POR)"
19,"Stadion Zygmunta Szelesta, Warszawa (POL)"
20,"Tullamore Harriers AC Stadium, Tullamore (IRL)"
21,"LAZ Wien, Wien (AUT)"
22,"Expocentro, Pombal (POR)"
23,"Tamme staadion, Tartu (EST)"
24,"Centro Gabre Gabric, Brescia (ITA)"
25,"Laugardalshöll, Reykjavík (ISL)"
26,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)"
27,"Marsa Athletics Track, Marsa (MLT)"
29,"Eläintarhan urheilukenttä, Helsinki (FIN)"
30,"Estadio Panamericano, La Habana (CUB)"
31,"Topsporthal Vlaanderen, Gent (BEL)"
32,"Centro Deportivo Olímpico Mexicano, Ciudad de México (MEX)"
33,"Centro Desportivo Nacional do Jamor, Lisboa (POR)"
35,"Olympiastadion, Stockholm (SWE)"
37,"AIT International Arena, Athlone (IRL)"
38,"Givat Ram Stadium, Jerusalem (ISR)"
39,"NITTAIDAI Athletic Stadium, Yokohama (JPN)"
40,"Staadion, Rakvere (EST)"
41,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL)"
42,"Morton Stadium, Santry, Dublin (IRL)"
43,"Paavo Nurmen Stadion, Turku (FIN)"
44,"Pista Municipal Prof. Mário Moniz Pereira, Lisboa (POR)"
45,"Alexander Stadium, Birmingham (GBR)"
46,"Campo Comunale, Modena (ITA)"
47,"Pilditch Stadium, Pretoria (RSA)"
48,"Altice Forum, Braga (POR)"
49,"Estádio 1o de Maio, Braga (POR)"
50,"Fana Stadion, Bergen (NOR)"
51,"Kadrioru staadion, Tallinn (EST)"
52,"Ocean Breeze Athl. Complex, New York, NY (USA)"
53,"Stade Olympique de la Pontaise, Lausanne (SUI)"
54,"Stadion Radés, Radés (TUN)"
55,"T. Robinson Stadium, Nassau (BAH)"
56,"Terry Fox AF, Ottawa (CAN)"
57,"CeNARD, Buenos Aires (ARG)"
58,"Kyushu Kyoritsu University Stadium, Kitakyushu (JPN)"
59,"Sala de Atletism Ioan Soter, Bucureşti (ROU)"
60,"Stadio Guidobaldi, Rieti (ITA)"
61,"Stadionul Iolanda Balas Soter, Bucureşti (ROU)"
62,"Arena, Toruń (POL)"
63,"Armory Track&Field Center, New York, NY (USA)"
64,"Boudewijnstadion, Bruxelles (BEL)"
65,"Egyetemi Stadion, Veszprém (HUN)"
66,"Leichtathletikarena, Eisenstadt (AUT)"
67,"Pista de Atletismo Justo Román, Mar del Plata (ARG)"
68,"SOPAC, Sydney (AUS)"
69,"Track and Field Centre, Toronto (CAN)"
70,"Complexo Desportivo de Lousada, Lousada (POR)"
71,"GPS Stadium, Nicosia (CYP)"
72,"Arena Stade Couvert, Liévin (FRA)"
73,"Jāņa Daliņa Stadium, Valmiera (LAT)"
74,Montevideo (URU)
75,"Omnisport, Apeldoorn (NED)"
76,"Atletski Stadion, Kraljevo (SRB)"
77,"Centro Nacional de Lançamentos, Leiria (POR)"
78,"Coque Sport Center, Luxembourg (LUX)"
79,"Friidrottens Hus, Göteborg (SWE)"
81,"Kirani James Athletic Stadium, St. George's (GRN)"
82,"Pista de Atletismo SND, Asunción (PAR)"
83,"Regional Sport Complex, Brest (BLR)"
84,"Športová hala Elán, Bratislava (SVK)"
85,"Complexe Olympique Mohamed Boudiaf, Algiers (ALG)"
86,"Complexe Sportif de Blocry, Louvain-La-Neuve (BEL)"
87,"Estadio Vallehermoso, Madrid (ESP)"
88,"Golęcin Stadion, Poznan (POL)"
89,"Manchester Regional Arena, Manchester (GBR)"
90,"Stadion Topolica, Bar (MNE)"
91,"The Crest Athletics Centre, Bankstown, Sydney (AUS)"
92,"Track and Field Centre Outdoor Track, Toronto (CAN)"
93,"Uppsala Friidrottsarena, Uppsala (SWE)"
94,"Ataköy Arena, Istanbul (TUR)"
95,"Atletický stadion Slavia Praha, Praha (CZE)"
96,"COTP Stadium, São Paulo (BRA)"
97,"Longford Stadium Trafford, Manchester (GBR)"
98,"Mestský Stadion, Ostrava (CZE)"
100,"Pista de Atletismo da Universidade Federal do Rio Grande do Norte, Natal (BRA)"
101,"Stade d'Honneur Marcel Roustan, Salon-de-Provence (FRA)"
102,"Stadion BOSiR, Białystok (POL)"
103,"TipsArena, Linz (AUT)"
104,"Yanmar Stadium Nagai, Osaka (JPN)"
105,"Aftab Enghelab Sport Complex, Tehran (IRI)"
106,"CNDA, Bragança Paulista (BRA)"
107,"Camille Chamoun Sports City Stadium, Beirut (LBN)"
108,"Jāņa Daliņa Manēža, Valmiera (LAT)"
109,"Mahinda Rajapaksha Stadium, Diyagama (SRI)"
110,"Newtown Park Stadium, Wellington (NZL)"
111,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)"
112,"Stadio Comunale, Bellinzona (SUI)"
113,"Stadio M.S. Cozzoli, Molfetta (ITA)"
114,"Stadium Pierre-Quinon, Nantes (FRA)"
115,"Suhaim bin Hamad Stadium, Doha (QAT)"
116,"Estádio Municipal de Vagos, Vagos (POR)"
117,"Lantos Mihály Sportközpont, Budapest (HUN)"
118,"Pista de Atletismo do Parque Ayrton Senna, Campo Grande (BRA)"
119,"Stade L. Achille, Fort-de-France (FRA)"
120,"Stadion Śląski, Chorzów (POL)"
121,"The Track at New Balance, Boston, MA (USA)"
123,"AIS Athletics Track, Canberra (AUS)"
124,"Atatürk Stadyumu, Izmir (TUR)"
125,"Atletski stadion, Sremska Mitrovica (SRB)"
126,"Boston Univ. Track & Tennis Center, Boston, MA (USA)"
127,"Bærum Idrettspark, Rud, Bærum (NOR)"
128,"Estádio Municipal Fontelo, Viseu (POR)"
129,"Estádio Municipal Manuela Machado, Viana do Castelo (POR)"
131,"Loughborough University Track, Loughborough (GBR)"
132,"Mt Smart Stadium, Auckland (NZL)"
133,"Nyíregyházi Atlétikai Centrum, Nyíregyháza (HUN)"
134,"Pista Basilio Rodriguez, Carolina (PUR)"
135,"Pista Carlos Lopes, Torres Vedras (POR)"
