Date,Slug,Usage,BYOK Usage,Requests,Prompt Tokens,Completion Tokens,Reasoning Tokens
"2026-01-15 00:00:00","qwen/qwen3-8b","0.257678","0","1133","265556","986568","898820"
"2026-01-15 00:00:00","anthropic/claude-sonnet-4.5","2.87169","0","1136","293800","132686","0"
"2026-01-15 00:00:00","google/gemini-2.5-pro","18.069947","0","1136","265117","1773901","1649443"
"2026-01-15 00:00:00","openai/gpt-5.2","5.133933","0","1132","254274","334952","218901"
"2026-01-14 00:00:00","google/gemini-2.5-flash","0.026161","0","82","18494","8259","0"
"2026-01-14 00:00:00","openai/gpt-5.2","0.608572","0","139","29393","39961","27209"
"2026-01-14 00:00:00","anthropic/claude-opus-4.5","0.268405","0","62","15066","7723","0"
"2026-01-14 00:00:00","google/gemini-2.5-pro","0.649327","0","40","9100","63797","59578"
"2026-01-14 00:00:00","openai/gpt-4o-mini-2024-07-18","0.009331","0","137","28807","8461","0"
"2026-01-14 00:00:00","anthropic/claude-3.5-sonnet","0.007164","0","2","404","158","0"
"2026-01-14 00:00:00","anthropic/claude-sonnet-4.5","0.425667","0","181","43904","19597","0"
"2026-01-14 00:00:00","qwen/qwen3-8b","0.023324","0","110","25006","88880","81100"
