created_at,cost_total,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,finish_reason_normalized,generation_time_ms,time_to_first_token_ms
2026-01-15 06:49:57.053,0.002586,352,102,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4062,1840
2026-01-15 06:49:57.051,0.000309,317,1174,1102,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,21519,815
2026-01-15 06:49:57.049,0.006622,304,435,325,openai/gpt-5.2-20251211,OpenAI,standard,stop,11009,8631
2026-01-15 06:49:57.046,0.013721,313,1333,1244,google/gemini-2.5-pro,Google,standard,stop,13914,2336
2026-01-15 06:49:39.032,0.002787,254,135,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3589,867
2026-01-15 06:49:39.030,0.006182,221,414,301,openai/gpt-5.2-20251211,OpenAI,standard,stop,12315,5701
2026-01-15 06:49:39.023,0.018678,231,1839,1701,google/gemini-2.5-pro,Google,standard,stop,17027,2384
2026-01-15 06:49:39.017,0.000106,227,381,283,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,7882,1230
2026-01-15 06:49:25.931,0.000148,200,555,458,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,10742,807
2026-01-15 06:49:25.929,0.002709,223,136,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4261,2001
2026-01-15 06:49:25.927,0.013105,204,1285,1175,google/gemini-2.5-pro,Google,standard,stop,12520,2249
2026-01-15 06:49:25.924,0.003062,198,194,100,openai/gpt-5.2-20251211,OpenAI,standard,stop,5243,4799
2026-01-15 06:49:21.493,0.014701,313,1431,1324,google/gemini-2.5-pro,Google,standard,stop,15126,3038
2026-01-15 06:49:21.493,0.00455,304,287,180,openai/gpt-5.2-20251211,OpenAI,standard,stop,9740,6320
2026-01-15 06:49:21.474,0.002778,356,114,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4007,1714
2026-01-15 06:49:21.473,0.000257,324,962,971,qwen/qwen3-8b-04-28,Fireworks,standard,stop,7246,840
2026-01-15 06:49:03.943,0.000255,233,976,886,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,16974,996
2026-01-15 06:49:03.927,0.015478,231,1519,1389,google/gemini-2.5-pro,Google,standard,stop,14215,2247
2026-01-15 06:49:03.924,0.003249,258,165,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,5585,2293
2026-01-15 06:49:03.920,0.004838,221,318,208,openai/gpt-5.2-20251211,OpenAI,standard,stop,8221,4973
2026-01-15 06:48:42.781,0.003036,227,157,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3961,791
2026-01-15 06:48:42.780,0.016045,204,1579,1475,google/gemini-2.5-pro,Google,standard,stop,15733,2153
2026-01-15 06:48:42.779,0.000319,206,1236,1156,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,20823,778
