canonical_venue,latitude,longitude,elevation
"WA Athletics Stadium, Perth (AUS)",-31.9494711,115.7822963,21.0
"SA Athletic Stadium, Adelaide (AUS)",-34.929487,138.57846,36.0
"National Stadium, Kingston (JAM)",18.0013755,-76.7725427,90.0
"Hadar Yosef Stadium, Tel Aviv (ISR)",32.1047738,34.822055,12.0
"Bislett Stadion, Oslo (NOR)",59.92555209999999,10.7342752,49.0
"Sports Park Mladost, Zagreb (CRO)",45.7832281,15.9447435,116.0
"Woodside Stadium, Watford (GBR)",51.6956132,-0.3945263,77.0
"McArthur Stadium, Potchefstroom (RSA)",-26.7113196,27.0895503,1346.0
"Atletická hala, Ostrava (CZE)",49.80383579999999,18.2486016,231.0
"Atletska dvorana, Beograd (SRB)",44.7743572,20.4719227,138.0
"Estadio Atlético de la VIDENA, Lima (PER)",-12.0816939,-76.9982124,174.0
"Philsport Track Oval, Pasig (PHI)",14.578551,121.0666532,39.0
"Lee Valley Athletics Centre, London (GBR)",51.6315259,-0.0372572,19.0
"Pista da Sogipa, Porto Alegre (BRA)",-30.00946489999999,-51.1880085,32.0
"Hayward Field, Eugene, OR (USA)",44.04240679999999,-123.070692,137.0
"Lakeside Stadium, Melbourne (AUS)",-37.840334,144.9652943,8.0
"RG3 e Centro Desportivo da Madeira, Funchal (POR)",32.6902895,-17.0490503,85.0
"Stadion Zygmunta Szelesta, Warszawa (POL)",52.2867314,20.9590391,98.0
"Tullamore Harriers AC Stadium, Tullamore (IRL)",53.26569,-7.503989,65.0
"LAZ Wien, Wien (AUT)",48.20806959999999,16.3713095,194.0
"Expocentro, Pombal (POR)",39.9360474,-8.6598508,117.0
"Tamme staadion, Tartu (EST)",58.3664525,26.7137237,65.0
"Centro Gabre Gabric, Brescia (ITA)",45.51414339999999,10.2675698,128.0
"Laugardalshöll, Reykjavík (ISL)",64.14050209999999,-21.8766456,
"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",-27.5582992,153.0623069,89.0
"Marsa Athletics Track, Marsa (MLT)",35.8754258,14.4937208,5.0
"Eläintarhan urheilukenttä, Helsinki (FIN)",60.19124859999999,24.9310553,
"Estadio Panamericano, La Habana (CUB)",23.1576006,-82.316757,32.0
"Topsporthal Vlaanderen, Gent (BEL)",51.0499922,3.7303853,12.0
"Centro Deportivo Olímpico Mexicano, Ciudad de México (MEX)",19.4326077,-99.133208,2228.0
"Centro Desportivo Nacional do Jamor, Lisboa (POR)",38.703912,-9.2569885,14.0
"Olympiastadion, Stockholm (SWE)",59.34533640000001,18.0790178,28.0
"AIT International Arena, Athlone (IRL)",53.4188295,-7.904556099999999,44.0
"Givat Ram Stadium, Jerusalem (ISR)",31.77597239999999,35.2000774,754.0
"NITTAIDAI Athletic Stadium, Yokohama (JPN)",35.5942091,139.7537744,9.0
"Staadion, Rakvere (EST)",59.34708469999999,26.3593036,80.0
"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL)",-17.3892796,-66.1636611,2573.0
"Morton Stadium, Santry, Dublin (IRL)",53.401123,-6.245053899999999,51.0
"Paavo Nurmen Stadion, Turku (FIN)",60.4425447,22.2609213,
"Pista Municipal Prof. Mário Moniz Pereira, Lisboa (POR)",38.7222524,-9.1393366,61.0
"Alexander Stadium, Birmingham (GBR)",52.5310912,-1.9053004,106.0
"Campo Comunale, Modena (ITA)",44.647128,10.9252269,46.0
"Pilditch Stadium, Pretoria (RSA)",-25.7515454,28.1646304,1325.0
"Altice Forum, Braga (POR)",41.541648,-8.421845099999999,160.0
"Estádio 1o de Maio, Braga (POR)",41.5388537,-8.4205877,187.0
"Fana Stadion, Bergen (NOR)",60.29047600000001,5.3178483,
"Kadrioru staadion, Tallinn (EST)",59.4345024,24.7833478,17.0
"Ocean Breeze Athl. Complex, New York, NY (USA)",40.5831074,-74.0751483,5.0
"Stade Olympique de la Pontaise, Lausanne (SUI)",46.5332326,6.6243555,598.0
"Stadion Radés, Radés (TUN)",36.747785,10.2728649,8.0
"T. Robinson Stadium, Nassau (BAH)",25.0543008,-77.3602027,6.0
"Terry Fox AF, Ottawa (CAN)",45.306109,-75.912274,102.0
"CeNARD, Buenos Aires (ARG)",-34.54249739999999,-58.4549462,12.0
"Kyushu Kyoritsu University Stadium, Kitakyushu (JPN)",33.8715003,130.7055111,36.0
"Sala de Atletism Ioan Soter, Bucureşti (ROU)",44.4356947,26.1461459,78.0
"Stadio Guidobaldi, Rieti (ITA)",42.399826,12.8494443,386.0
"Stadionul Iolanda Balas Soter, Bucureşti (ROU)",44.4703683,26.0740975,87.0
"Arena, Toruń (POL)",53.0177491,18.5888618,55.0
"Armory Track&Field Center, New York, NY (USA)",40.8421936,-73.9413146,59.0
"Boudewijnstadion, Bruxelles (BEL)",50.8957028,4.3340679,60.0
"Egyetemi Stadion, Veszprém (HUN)",47.0824458,17.9057023,284.0
"Leichtathletikarena, Eisenstadt (AUT)",47.8448307,16.5390078,157.0
"Pista de Atletismo Justo Román, Mar del Plata (ARG)",-38.016788,-57.579544,18.0
"SOPAC, Sydney (AUS)",-33.850589,151.066985,30.0
"Track and Field Centre, Toronto (CAN)",43.7763564,-79.50766449999999,203.0
