venue,n_competitions,first_seen,last_seen
"Stadion Míru, Tábor (CZE)",15,2023-06-10,2025-09-20
"Mestský Stadion Sletište, Kladno (CZE)",14,2020-09-16,2025-08-30
"National Stadium, Gaborone (BOT)",13,2021-05-15,2025-05-16
"Franklin Field, Philadelphia, PA (USA)",13,2022-04-28,2025-07-19
"Stadio Quercia, Rovereto (ITA)",12,2020-09-08,2025-09-13
"Tsirio Stadium, Limassol (CYP)",11,2021-04-17,2025-07-04
"Yecheon Stadium, Yecheon (KOR)",11,2023-04-13,2025-09-03
"Truman Bodden Sports Complex, George Town (CAY)",11,2023-01-28,2025-06-27
"Mandela National Stadium, Kampala (UGA)",9,2019-07-26,2025-07-24
"Werner-von-Linde-Halle, München (GER)",9,2023-01-15,2025-01-25
"Ishin Me-Life Stadium, Yamaguchi (JPN)",8,2021-10-16,2025-09-26
"Estadi Olímpic Camilo Cano, La Nucia (ESP)",7,2019-08-31,2025-10-04
"Stadion Trinermatten, Zofingen (SUI)",7,2021-06-05,2025-09-12
"Drake Stadium, Des Moines, IA (USA)",7,2018-06-21,2025-04-23
"HFC Bank Stadium, Suva (FIJ)",5,2024-06-01,2024-06-06
"Stadion Lachen, Thun (SUI)",5,2023-06-10,2025-05-24
"Mike A. Myers Stadium, Austin, TX (USA)",5,2023-03-04,2025-05-01
"Stade Pierre de Coubertin, Montgeron (FRA)",5,2023-07-05,2025-06-27
"Paula Radcliffe Stadium, Loughborough (GBR)",4,2023-06-10,2025-06-21
"x-bionic sphere, Šamorín (SVK)",4,2020-09-11,2025-05-31
"Dinamo National Olympic Stadium, Minsk (BLR)",4,2019-09-09,2024-06-27
"Alumni Stadium, Guelph (CAN)",4,2022-06-08,2025-07-20
"Coral Gables, FL (USA)",3,2016-04-08,2017-04-07
"Iharos Sándor Atlétikai Pálya, Budapest (HUN)",3,2023-07-01,2025-07-11
"Cooks Gardens, Whanganui (NZL)",3,2021-01-30,2025-11-08
"Sannerudsvallen, Kil (SWE)",3,2023-06-06,2025-09-06
Hamilton (NZL),3,2018-02-10,2019-02-09
"Stade Sottevillais 76, Sotteville-lès-Rouen (FRA)",3,2021-07-11,2023-07-07
Pireaus (GRE),2,2018-02-10,2019-02-09
Réduit (MRI),2,2016-05-28,2018-07-06
"Polideportivo Municipal, Andújar (ESP)",2,2021-05-22,2024-05-17
Montreuil (FRA),2,2018-06-19,2019-06-11
Santa Cruz de la Sierra (BOL),2,2024-05-25,2025-10-11
"Independence Stadium, Windhoek (NAM)",2,2019-04-05,2024-04-26
Karlstad (SWE),2,2018-07-25,2019-07-03
Jyväskylä (FIN),2,2018-07-19,2019-06-19
Luzern (SUI),2,2018-07-09,2019-07-09
"Strovolos, GPS Stadium, Nicosia (CYP)",2,2020-08-06,2022-03-04
Miramas (FRA),2,2019-01-19,2019-02-16
Hangzhou (CHN),2,2019-03-19,2025-05-24
Elbasan (ALB),1,2018-05-29,2018-05-29
"Iharos Sándor Atlétikai Pálya futófolyosó, Budapest (HUN)",1,2024-02-03,2024-02-03
"Ergo Arena, Sopot (POL)",1,2014-03-07,2014-03-07
