,model_family,prompt_version,total_predictions,valid_predictions,mae,std_dev,min_error,max_error,median_error,p95_error
0,claude-4.5-sonnet,prompt_v1,141,141,,,,,,
1,claude-4.5-sonnet,prompt_v2,143,143,,,,,,
2,claude-4.5-sonnet,prompt_v3,144,144,,,,,,
3,claude-4.5-sonnet,prompt_v4,144,144,,,,,,
4,gemini-2.5-pro,prompt_v1,145,145,,,,,,
5,gemini-2.5-pro,prompt_v2,143,143,,,,,,
6,gemini-2.5-pro,prompt_v3,144,144,,,,,,
7,gemini-2.5-pro,prompt_v4,145,145,,,,,,
8,gpt-5.2,prompt_v1,1,1,,,,,,
9,gpt-5.2,prompt_v2,2,2,,,,,,
10,gpt-5.2,prompt_v3,14,14,,,,,,
11,gpt-5.2,prompt_v4,12,12,,,,,,
12,qwen3-8b,prompt_v1,79,79,,,,,,
13,qwen3-8b,prompt_v2,100,100,,,,,,
14,qwen3-8b,prompt_v3,78,78,,,,,,
15,qwen3-8b,prompt_v4,23,23,,,,,,
